conf_num z qprop_value
5 11 (8.820826357596842e-06+1.0622237235866086e-06j)
5 12 (3.924410286257386e-06+5.573818045670469e-07j)
5 13 (1.7916787174648277e-06+2.3550287914894566e-07j)
5 14 (7.919128588418587e-07+9.644077062367889e-08j)
5 15 (3.4930782065220693e-07+5.947329321548774e-08j)
5 16 (1.585477466105685e-07+2.9779995587275647e-08j)
5 17 (7.176156635905644e-08+1.1198637728266371e-08j)
5 18 (3.229780310047916e-08+4.613171853071594e-09j)
5 19 (1.508449433605913e-08+2.3698713144406005e-09j)
5 20 (7.223236843692637e-09+1.2120862476678825e-09j)
5 21 (3.450436990755702e-09+4.3180382395997713e-11j)
5 22 (1.573461787889817e-09-1.0584344529921918e-10j)
5 23 (5.282029758330991e-10-1.7696708761405705e-10j)
5 24 (-6.53792663365364e-11-1.106327947130573e-10j)
5 25 (-5.578967326170467e-10-2.484782130240482e-10j)
5 26 (-1.5903842306141914e-09-3.127887934330806e-10j)
5 27 (-3.908986835046413e-09-6.065045258004908e-10j)
5 28 (-9.221504816436802e-09-5.647153303268535e-10j)
5 29 (-2.0311980293680723e-08-4.615135658956212e-10j)
5 30 (-4.787037558166757e-08-3.4543902888435227e-10j)
5 31 (-1.0509764497025148e-07-5.03464899387197e-10j)
5 32 (-2.148996198417148e-07-8.09137259220107e-09j)
5 33 (-4.337761611849455e-07-4.344734223526575e-08j)
5 34 (-9.292970675637798e-07-6.931988227099583e-08j)
5 35 (-1.925837720972506e-06-7.898121878059068e-08j)
5 36 (-4.326042824449026e-06-1.648672061933921e-07j)
5 37 (-9.776839506100425e-06-1.175560892751489e-07j)
5 38 (-2.1929393133721387e-05+4.485283557609786e-07j)
5 39 (-5.117127969243811e-05+1.252234947403679e-06j)
5 40 (-0.00012588756834940764+1.517560394845986e-06j)
5 41 (-0.0003257983844721303+2.269554224875639e-06j)
5 42 (-0.0008722476239303706-1.1539853246225674e-05j)
5 43 (-0.0024652590767498296-4.937719792343602e-05j)
5 44 (-0.007820976379659075-1.0564327083521217e-05j)
5 45 (-0.02626268964642622+6.53478092602998e-05j)
5 46 (-0.10036186280991898+0.0002739770638747829j)
5 47 (-0.4102103868433229+0.0004312309343859306j)
6 0 (1.0951254034941775e-15-2.7231887310535225e-05j)
6 1 (0.4165788296004095+0.00035667301386564806j)
6 2 (0.10171994543022188+0.0002980418288173884j)
6 3 (0.026344223222016006+6.03323247491391e-05j)
6 4 (0.007416142117675059+0.00011452222216798223j)
6 5 (0.002274628645992129+7.663078800500506e-06j)
6 6 (0.0008164533852281239-9.184515577825274e-06j)
6 7 (0.00031065757514643085+1.1092557147278166e-06j)
6 8 (0.00012253262229575506+3.1420130776166947e-06j)
6 9 (5.186710203093261e-05+2.287068532027398e-06j)
6 10 (2.2441535232830808e-05+1.3633263710486809e-06j)
6 11 (1.020804419999431e-05+4.541493584037416e-07j)
6 12 (4.660344101021303e-06-1.7772667540101234e-10j)
6 13 (2.2113454928788252e-06-1.8746718540818703e-08j)
6 14 (1.0260718255465459e-06-4.771522618799235e-08j)
6 15 (4.723296309162985e-07-3.940411337553859e-08j)
6 16 (2.3596311196234326e-07-1.580433795148253e-08j)
6 17 (1.1134917417595549e-07-5.918816864978913e-09j)
6 18 (5.0084308266072914e-08-3.433496117781481e-09j)
6 19 (2.2241533598183146e-08-3.3126435578248963e-09j)
6 20 (1.1378537198102322e-08-1.6737923626007773e-09j)
6 21 (4.8138231569673365e-09-9.468687266180555e-10j)
6 22 (2.2135418784477673e-09-4.583511660249105e-10j)
6 23 (8.202163072808276e-10-2.3310656185853826e-10j)
6 24 (-5.001128663347514e-11-2.1514919675444926e-10j)
6 25 (-9.749289991471712e-10-3.437701477086528e-10j)
6 26 (-2.3545523158545673e-09-5.383353959592868e-10j)
6 27 (-4.907473481543489e-09-8.533699939465179e-10j)
6 28 (-9.937111245128862e-09-1.0822420135982165e-09j)
6 29 (-2.1244124188452828e-08-3.2076375145402887e-09j)
6 30 (-4.196063893458524e-08-9.137482873014246e-09j)
6 31 (-8.983405679727294e-08-1.7690289905454485e-08j)
6 32 (-1.789564086908702e-07-3.011484453868951e-08j)
6 33 (-3.570004238573745e-07-6.698658154015109e-08j)
6 34 (-7.642666063622338e-07-1.070186279706405e-07j)
6 35 (-1.7140340529791488e-06-1.2506033198509148e-07j)
6 36 (-3.893656166406404e-06+8.845697058418391e-09j)
6 37 (-9.020153828311774e-06+2.698678203147678e-07j)
6 38 (-2.0236581730914827e-05+3.08519809038975e-07j)
6 39 (-4.8655355332569704e-05+8.468227992047815e-07j)
6 40 (-0.00012048986754033162+4.1463532630119216e-07j)
6 41 (-0.00030725532366202436-3.3682205440299174e-06j)
6 42 (-0.0008043845303798883-1.984499503131844e-05j)
6 43 (-0.002315739707527756-7.354806815228943e-05j)
6 44 (-0.007471821683462806-0.0001648270285878913j)
6 45 (-0.02594878129068862-0.00013061110920045696j)
6 46 (-0.10102173181870368+0.00016342058583235626j)
6 47 (-0.4164145677708368-1.1232052182440264e-05j)
7 0 (-1.3638644148783203e-14+7.021417965182285e-05j)
7 1 (0.41047399942370716-0.0013908051268669305j)
7 2 (0.10071369380249545-0.0009460545513760815j)
7 3 (0.026720064196201005-0.0003456059199604784j)
7 4 (0.007446805573345536-0.00013623441262276988j)
7 5 (0.0023241260005827493-4.204065291897866e-05j)
7 6 (0.0008206658180968985-1.1708522550476441e-05j)
7 7 (0.0003083855044803392-6.956666637803821e-06j)
7 8 (0.00012146456142818189-2.9308140291770836e-06j)
7 9 (5.02366485563955e-05-2.151416683871639e-06j)
7 10 (2.157647682021051e-05-1.2697344359687268e-06j)
7 11 (8.991432727037318e-06-5.025963092496697e-07j)
7 12 (3.7724911965949095e-06-1.2167170856625837e-07j)
7 13 (1.5966372533415728e-06+6.375597877394035e-08j)
7 14 (7.375720089164659e-07+6.033109067036769e-08j)
7 15 (3.585102917011867e-07+1.8623131979114318e-08j)
7 16 (1.6407366688078562e-07+6.143872639709534e-09j)
7 17 (7.60466328483637e-08+6.123657800406336e-09j)
7 18 (3.553467009330611e-08+1.7095730315870866e-09j)
7 19 (1.4857225138924833e-08+5.51870221449761e-10j)
7 20 (7.794799347422366e-09+1.6418126963945572e-10j)
7 21 (4.005880679845402e-09+1.1473988928715904e-10j)
7 22 (2.0821364702437476e-09+1.4969519731987758e-11j)
7 23 (9.580833143279402e-10-5.7180466468116825e-11j)
7 24 (4.3710622601936526e-10-2.3730008969256497e-10j)
7 25 (7.2702679017290925e-12-2.958453176888696e-10j)
7 26 (-5.093209897528102e-10-2.2182367886431371e-10j)
7 27 (-1.7294660984660624e-09-7.246036866838026e-10j)
7 28 (-3.4871931101859174e-09-1.0484299898062927e-09j)
7 29 (-6.868264996591031e-09-1.7333025266385157e-09j)
7 30 (-1.64353264226544e-08-6.70487101265445e-10j)
7 31 (-3.684313055120755e-08+1.8837370258281983e-09j)
7 32 (-1.0140937490804695e-07+4.645657853525288e-09j)
7 33 (-2.118635931632822e-07+9.048633345635807e-09j)
7 34 (-4.89003513877091e-07-3.275391572714462e-10j)
7 35 (-1.1906624962965827e-06-2.4397689236943224e-08j)
7 36 (-2.92663167082694e-06-1.4151315538018546e-07j)
7 37 (-7.069660810766869e-06-6.334575850989252e-07j)
7 38 (-1.6843006104610684e-05-2.0983520399664293e-06j)
7 39 (-3.9847194682139374e-05-4.808148085043854e-06j)
7 40 (-0.00010141442539446138-8.980345723750664e-06j)
7 41 (-0.0002726202278469623-1.7126579701136457e-05j)
7 42 (-0.0007306001973499389-3.1604078777505506e-05j)
7 43 (-0.0020860133531596897-6.529946724816042e-05j)
7 44 (-0.0065999928928432115-0.00023482290494828608j)
7 45 (-0.02403440999741646-0.00071905254640594j)
7 46 (-0.09686251628930527-0.0015195419064358091j)
7 47 (-0.4115123146057716-0.0005710469027648208j)
8 0 (6.643251453228218e-15+0.00039061131756881084j)
8 1 (0.40808527126336597-0.0002546711988741712j)
8 2 (0.09932023194619098-0.0005154220820963707j)
8 3 (0.025854220165851236-0.00019891780879353733j)
8 4 (0.007397868030885773+4.879739098840978e-05j)
8 5 (0.0023766194193261918+3.752852190467361e-05j)
8 6 (0.000833357565162808+3.8011146858703583e-06j)
8 7 (0.0003145632245205401-3.094370859827811e-07j)
8 8 (0.0001251586189066941+2.056922336261795e-07j)
8 9 (5.2308429038649905e-05+2.439146990726846e-07j)
8 10 (2.272718298923647e-05+5.884638030191497e-07j)
8 11 (9.579828698867102e-06+3.7099091061933025e-07j)
8 12 (4.12026304835587e-06+8.768835497441136e-08j)
8 13 (1.771732148112022e-06+5.26678244912516e-09j)
8 14 (8.339739426282006e-07+5.576908501046837e-08j)
8 15 (3.782511563159864e-07+2.9327906422160334e-08j)
8 16 (1.7084025503130873e-07+1.7666286861376788e-08j)
8 17 (7.748231244647784e-08+6.870501381319839e-09j)
8 18 (3.335572643485388e-08+4.820267479406992e-09j)
8 19 (1.4508389444419352e-08+1.6215826907895574e-09j)
8 20 (6.738017809589174e-09+1.4045153440344574e-09j)
8 21 (3.6476950864632122e-09+5.512220429804101e-10j)
8 22 (1.6531928707663703e-09+3.2809373597631315e-10j)
8 23 (6.01687861549095e-10+9.995103235009472e-11j)
8 24 (7.81936375715614e-11-1.0808408311743116e-10j)
8 25 (-4.860731354598082e-10-1.300725938049707e-10j)
8 26 (-1.212016751338158e-09-3.4974406734018276e-10j)
8 27 (-3.09197485815644e-09-7.075401448983372e-10j)
8 28 (-7.032263616930788e-09-1.6387643191568013e-09j)
8 29 (-1.537918369694554e-08-4.129061381912735e-09j)
8 30 (-3.343612914292429e-08-8.055207876842824e-09j)
8 31 (-7.459918124257535e-08-1.331779097444364e-08j)
8 32 (-1.6576355379496892e-07-2.4090780824680667e-08j)
8 33 (-3.8922562465875076e-07-1.2757352969789587e-08j)
8 34 (-8.591564456139262e-07-2.105236970501985e-08j)
8 35 (-1.86463631544851e-06-1.4305896708986855e-09j)
8 36 (-4.02919430083786e-06+1.6525022669705814e-07j)
8 37 (-9.185321476954858e-06+4.251755832440484e-07j)
8 38 (-2.1343631397808964e-05+6.684332492158038e-07j)
8 39 (-4.8560396498107644e-05+1.8856748858261363e-06j)
8 40 (-0.00011536513281322106+4.424157042130116e-06j)
8 41 (-0.0002929910655751597+1.1554047788744263e-05j)
8 42 (-0.0008063094848277576+2.6052136255212263e-05j)
8 43 (-0.0023031811113320404+5.9835647813286364e-05j)
8 44 (-0.0074407203413182615+0.00011038095775111847j)
8 45 (-0.02654847317676149+0.00033046496539364327j)
8 46 (-0.1010783790075499+0.00072430395383648j)
8 47 (-0.41032158616275166+0.0004899358168756382j)
9 0 (4.9639180027712115e-15-0.00010372151699339293j)
9 1 (0.4125787479848102+0.00035049411801312046j)
9 2 (0.10228889309586761+0.0001553244372158082j)
9 3 (0.026515993249728288+0.00010044376311353826j)
9 4 (0.007461398213447825+9.29027558862679e-06j)
9 5 (0.002385015080804881+2.95705387885226e-05j)
9 6 (0.0008363497391369787+2.1380799728922864e-05j)
9 7 (0.0003164763033734355+9.792123269750966e-06j)
9 8 (0.00012461338404197566+3.07061312520723e-06j)
9 9 (5.2394290880821796e-05+1.0727564575018885e-06j)
9 10 (2.2657373946550632e-05-3.366354934725388e-07j)
9 11 (1.0071576575660646e-05-5.5934299215813634e-08j)
9 12 (4.2323687035982196e-06+3.267819871857012e-08j)
9 13 (1.9295249372616473e-06+3.383093356620884e-08j)
9 14 (8.780889825100523e-07+2.649643701036387e-08j)
9 15 (4.021693701770389e-07+2.089303405924279e-08j)
9 16 (1.940142773675399e-07+8.779989584467793e-09j)
9 17 (8.231759414389849e-08+1.6906764713973434e-09j)
9 18 (3.901594046195655e-08-3.129023023040104e-10j)
9 19 (1.7833232893689318e-08-2.3378108650569564e-10j)
9 20 (8.182538474671129e-09-2.4687647636685666e-10j)
9 21 (3.4884494038837678e-09-2.515091511750955e-10j)
9 22 (1.670130920306161e-09-4.13866705680094e-10j)
9 23 (7.179047710313736e-10-1.5293640166595998e-10j)
9 24 (2.0952306480371823e-10-3.175448211354795e-11j)
9 25 (-2.3191709927495703e-10+1.0011115087832799e-10j)
9 26 (-1.0042371132976029e-09+3.4422182176283083e-10j)
9 27 (-2.0321987297465395e-09+7.438235794943472e-10j)
9 28 (-4.744171616185072e-09+1.8202944873311024e-09j)
9 29 (-1.2267232557673836e-08+4.047973872684999e-09j)
9 30 (-2.8733218385927434e-08+7.657154908108838e-09j)
9 31 (-6.554009815603152e-08+9.898402068308444e-09j)
9 32 (-1.468664387159091e-07+2.019160433283618e-08j)
9 33 (-3.2260917139647205e-07+4.428522305471543e-08j)
9 34 (-7.701511444717638e-07+1.0078601427972507e-07j)
9 35 (-1.7341387095314162e-06+1.5417206728198687e-07j)
9 36 (-3.751684954955644e-06+2.2706361856988527e-07j)
9 37 (-8.498467804248654e-06+3.9188365914014586e-07j)
9 38 (-2.0072081924479902e-05+8.837606778409348e-07j)
9 39 (-4.8474082397129434e-05+1.1910787890050955e-06j)
